talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
73063.0,"The ""myth"" of the boiling frog", TED-Ed,2021-02-16,2021-02-16,TED-Ed,260.0,1500772.0,45000.0
72933.0,I let algorithms randomize my life for two years,Max Hawkins,2017-10-21,2021-02-16,TEDxVienna,695.0,1697012.0,50000.0
72363.0,"How theater weathers wars, outlasts empires and survives pandemics",Cara Greene Epstein,2020-06-28,2021-02-17,TEDxWrigleyville,879.0,1291188.0,38000.0
71235.0,3 sneaky tactics that websites use to make you spend,Wendy De La Rosa,2021-02-17,2021-02-17,Your Money and Your Mind,222.0,322449.0,9600.0
73261.0,"Why do we, like, hesitate when we, um, speak?",Lorenzo García-Amaya,2021-02-18,2021-02-18,TED-Ed,314.0,2158458.0,64000.0
68726.0,Meditations on the intersection of humanity and technology,Olivia Arthur,2020-10-21,2021-02-18,TED@BCG,551.0,317655.0,9500.0
73347.0,The US is back in the Paris Agreement. What's next?,John Kerry and Al Gore,2021-02-19,2021-02-19,Countdown,2275.0,1587738.0,47000.0
73480.0,The Trans Ban,Conversations with People Who Hate Me,2018-04-01,2021-02-22,Conversations with People Who Hate Me,1913.0,16900.0,507.0
73346.0,The world's biggest battery looks nothing like a battery, TED-Ed,2021-02-22,2021-02-22,TED-Ed,295.0,723372.0,21000.0
72994.0,"""Aliens built the pyramids"" and other absurdities of pseudo-archaeology",Sarah Kurnick,2020-08-29,2021-02-22,TEDxMileHigh,713.0,1764201.0,52000.0
73481.0,Brené Brown,Design Matters,2017-07-01,2021-02-22,Design Matters with Debbie Millman,3051.0,32536.0,976.0
72829.0,Why there's no such thing as objective reality,Greg Anderson,2020-02-22,2021-02-23,TEDxOhioStateUniversity,968.0,1555826.0,46000.0
73444.0,Can you solve the logician's rave riddle?,Edwin Meyer,2021-02-23,2021-02-23,TED-Ed,285.0,1290061.0,38000.0
71237.0,Why talking to your friends can help you save money,Wendy De La Rosa,2021-02-24,2021-02-24,Your Money and Your Mind,210.0,278725.0,8300.0
71706.0,The people who caused the climate crisis aren't the ones who will fix it,Angela Mahecha Adrar,2020-12-09,2021-02-24,TED Salon UNDP,748.0,1270948.0,38000.0
69661.0,The value of your humanity in an automated future,Kevin Roose,2020-10-21,2021-02-25,TED@BCG,639.0,1375419.0,41000.0
73530.0,Debunking the myth of the Lost Cause: A lie embedded in American history,Karen L. Cox,2021-02-25,2021-02-25,TED-Ed,268.0,1688811.0,50000.0
73511.0,Cheryl Strayed,Design Matters with Debbie Millman,2020-06-01,2021-02-26,TED Audio Collective,3398.0,1210848.0,36000.0
73540.0,The material that could change the world ... for a third time, TED-Ed,2021-03-01,2021-03-01,TED-Ed,306.0,2106271.0,63000.0
72552.0,How video game skills can get you ahead in life,William Collis,2020-10-21,2021-03-01,TED@BCG,611.0,1481148.0,44000.0
73716.0,Can loud music damage your hearing?,Heather Malyuk,2021-03-02,2021-03-02,TED-Ed,291.0,660920.0,19000.0
73443.0,How compassion could save your strained relationships,Betty Hart,2020-11-14,2021-03-02,TEDxCherryCreekWomen,653.0,1588960.0,47000.0
71238.0,10 steps to boost your financial health -- that you can do in a day,Wendy De La Rosa,2021-03-03,2021-03-03,Your Money and Your Mind,205.0,531162.0,15000.0
71487.0,My mother's final wish -- and the right to die with dignity,Elaine Fong,2017-10-10,2021-03-03,TEDxSanFrancisco,1272.0,1423829.0,42000.0
73824.0,"How would you finish the sentence, ""Imagine if...""?",Sir Ken Robinson,2021-03-04,2021-03-04,TED-Ed,89.0,273838.0,8200.0
69094.0,Virtual Worlds,Far Flung,2020-11-11,2021-03-05,Far Flung,2331.0,5075.0,152.0
67426.0,Post-Pandemic Paradise in Rapa Nui,Far Flung,2020-10-14,2021-03-05,Far Flung,2533.0,1848.0,55.0
